Data Access Size, RW Ratio, IO queue depth, Read Bandwidth (KB/s), Read IOPS, Read Latency (ns), Write Bandwidth (KB/s), Write IOPS, Write Latency (ns)
32, 0:100, 8, 0, 0.0, 0.0, 330417, 10325.558839, 774284.033159
64, 0:100, 1024, 0, 0.0, 0.0, 329317, 5145.590252, 198989636.101598
4, 70:30, 1024, 322210, 80552.576996, 9644089.434521, 138142, 34535.700817, 7152059.182083
32, 0:100, 32, 0, 0.0, 0.0, 329644, 10301.392983, 3105832.784371
16, 50:50, 8, 202056, 12628.549374, 593455.290167, 201770, 12610.657771, 39361.743889
64, 70:30, 8, 424807, 6637.621138, 1161944.323849, 181851, 2841.42301, 99551.575653
8, 0:100, 1024, 0, 0.0, 0.0, 326245, 40780.712695, 25107619.507591
64, 50:50, 8, 248917, 3889.337724, 1674220.455924, 248328, 3880.138498, 381192.331088
4, 0:100, 32, 0, 0.0, 0.0, 325340, 81335.013881, 392615.436036
64, 50:50, 1, 157964, 2468.193275, 323270.511006, 157590, 2462.355399, 78141.455894
8, 0:100, 256, 0, 0.0, 0.0, 326922, 40865.35586, 6263563.322929
128, 0:100, 8, 0, 0.0, 0.0, 331755, 2591.837659, 3083154.430339
64, 50:50, 32, 231715, 3620.55236, 6688303.159283, 231167, 3611.988877, 2152684.251433
16, 0:100, 8, 0, 0.0, 0.0, 421089, 26318.078593, 303569.192378
16, 70:30, 32, 392712, 24544.517661, 1289213.751661, 168487, 10530.457436, 32569.657288
64, 50:50, 1024, 285770, 4465.159782, 115487609.586083, 285094, 4454.598597, 114086516.461092
4, 100:0, 256, 617582, 154395.590033, 1657686.917675, 0, 0.0, 0.0
64, 100:0, 32, 1399482, 21866.915066, 1463041.57297, 0, 0.0, 0.0
32, 70:30, 4, 338271, 10570.985311, 359095.590093, 145254, 4539.197887, 43712.471134
8, 50:50, 256, 196993, 24624.176946, 6616138.185782, 196686, 24585.799135, 3784800.325614
8, 70:30, 32, 363660, 45457.544158, 686937.398482, 155898, 19487.266794, 37884.176405
16, 100:0, 256, 1032743, 64546.460801, 3965475.283995, 0, 0.0, 0.0
64, 100:0, 1, 424504, 6632.886081, 150098.488599, 0, 0.0, 0.0
4, 100:0, 4, 209535, 52383.941982, 76015.457499, 0, 0.0, 0.0
64, 0:100, 8, 0, 0.0, 0.0, 361751, 5652.359667, 1414618.33302
4, 0:100, 256, 0, 0.0, 0.0, 354769, 88692.395253, 2885579.190771
32, 100:0, 1024, 1203748, 37617.141918, 27216314.560403, 0, 0.0, 0.0
8, 0:100, 1, 0, 0.0, 0.0, 327778, 40972.342806, 24048.749749
8, 0:100, 8, 0, 0.0, 0.0, 395251, 49406.492, 161166.538684
64, 100:0, 4, 1067277, 16676.211293, 239560.352633, 0, 0.0, 0.0
4, 100:0, 1024, 599240, 149810.145224, 6834170.39292, 0, 0.0, 0.0
32, 0:100, 1, 0, 0.0, 0.0, 344863, 10776.979942, 92352.66652
64, 0:100, 1, 0, 0.0, 0.0, 330894, 5170.231991, 192706.558369
8, 100:0, 32, 849874, 106234.277094, 300894.332092, 0, 0.0, 0.0
16, 50:50, 1, 102641, 6415.079543, 132616.237459, 102495, 6405.990925, 22479.601936
8, 100:0, 256, 834716, 104339.506525, 2453011.633752, 0, 0.0, 0.0
4, 50:50, 8, 154975, 38743.756212, 190806.593409, 154802, 38700.551949, 14990.219544
8, 100:0, 8, 514575, 64321.986862, 124056.325522, 0, 0.0, 0.0
4, 70:30, 32, 302012, 75503.210793, 415169.836667, 129483, 32370.861317, 18971.076885
4, 50:50, 32, 176790, 44197.529673, 656538.196395, 176592, 44148.243752, 66315.650733
8, 100:0, 4, 322695, 40336.916773, 98824.533206, 0, 0.0, 0.0
32, 70:30, 1024, 362373, 11324.186704, 66037154.013914, 155603, 4862.623762, 56780420.771152
64, 100:0, 256, 1365307, 21332.929444, 11999191.907677, 0, 0.0, 0.0
4, 0:100, 4, 0, 0.0, 0.0, 388182, 97045.500318, 40575.079837
64, 0:100, 4, 0, 0.0, 0.0, 326826, 5106.671129, 782525.60233
16, 0:100, 32, 0, 0.0, 0.0, 387063, 24191.491611, 1322334.227253
8, 0:100, 4, 0, 0.0, 0.0, 333494, 41686.868227, 95087.422072
64, 0:100, 32, 0, 0.0, 0.0, 365405, 5709.464179, 5603992.907091
128, 50:50, 1024, 276901, 2163.296106, 239182647.49796, 275781, 2154.542711, 235037257.884333
8, 0:100, 32, 0, 0.0, 0.0, 327419, 40927.468204, 780928.234231
16, 100:0, 8, 757298, 47331.179238, 168726.037203, 0, 0.0, 0.0
64, 50:50, 256, 198389, 3099.83226, 45000824.115399, 197920, 3092.500406, 37665464.082472
4, 50:50, 256, 191070, 47767.534025, 3847281.758006, 190857, 47714.267091, 1512545.85105
128, 50:50, 1, 177506, 1386.769863, 548450.455403, 176788, 1381.158544, 166818.126856
64, 70:30, 32, 414910, 6482.970633, 4870561.554707, 177614, 2775.220451, 150743.365156
16, 0:100, 256, 0, 0.0, 0.0, 386951, 24184.462172, 10584503.300587
128, 70:30, 32, 392527, 3066.620774, 9621654.263612, 167680, 1310.004589, 1894591.960151
64, 100:0, 1024, 1311756, 20496.194143, 49946991.787506, 0, 0.0, 0.0
128, 100:0, 1, 699070, 5461.487067, 182399.405706, 0, 0.0, 0.0
4, 70:30, 256, 325050, 81262.538837, 2950415.535152, 139360, 34840.086234, 464691.746743
32, 0:100, 1024, 0, 0.0, 0.0, 330015, 10312.997049, 99286092.423818
8, 50:50, 4, 160325, 20040.705177, 182593.214927, 160075, 20009.470898, 16294.064983
4, 100:0, 32, 620749, 155187.261632, 205922.841057, 0, 0.0, 0.0
128, 0:100, 4, 0, 0.0, 0.0, 366299, 2861.715429, 1394706.741594
16, 70:30, 1024, 364776, 22798.512508, 33874157.018217, 156501, 9781.360094, 25722712.298465
128, 100:0, 32, 1501313, 11729.015066, 2727693.728661, 0, 0.0, 0.0
32, 50:50, 8, 233981, 7311.91488, 927022.063555, 234064, 7314.502988, 166139.859992
16, 50:50, 256, 200596, 12537.303629, 12659680.087791, 200312, 12519.541299, 7768783.632543
16, 50:50, 32, 213679, 13354.94592, 2140506.149063, 213376, 13336.025189, 255077.322544
128, 100:0, 256, 1471010, 11492.267524, 22272578.385364, 0, 0.0, 0.0
8, 50:50, 8, 184688, 23086.096553, 324557.09158, 184400, 23050.115904, 21283.990792
4, 0:100, 1, 0, 0.0, 0.0, 302123, 75530.762091, 12906.55759
