200, 	4.6	ns
400, 	5.4	ns
600, 	5.7	ns
800, 	5.7	ns
1000, 	5.7	ns
1200, 	6.1	ns
1400, 	6.1	ns
1600, 	12.2	ns
1800, 	12.5	ns
2000, 	12.5	ns
2200, 	16.9	ns
2400, 	17.5	ns
2600, 	17.6	ns
2800, 	17.6	ns
3000, 	17.6	ns
3200, 	17.9	ns
3400, 	17.9	ns
3600, 	18.4	ns
3800, 	18.0	ns
4000, 	18.1	ns
4200, 	20.3	ns
4400, 	19.2	ns
4600, 	19.0	ns
4800, 	21.9	ns
5000, 	23.5	ns
5200, 	28.9	ns
5400, 	27.6	ns
5600, 	27.3	ns
5800, 	31.9	ns
6000, 	32.8	ns
6200, 	39.5	ns
6400, 	44.9	ns
6600, 	38.0	ns
6800, 	41.3	ns
7000, 	40.2	ns
7200, 	42.8	ns
7400, 	50.4	ns
7600, 	48.5	ns
7800, 	60.0	ns
8000, 	61.7	ns
8200, 	77.0	ns
8400, 	81.5	ns
8600, 	82.4	ns
8800, 	86.0	ns
9000, 	92.8	ns
9200, 	95.0	ns
9400, 	102.4	ns
9600, 	103.2	ns
9800, 	104.5	ns
10000, 	104.2	ns
10200, 	103.3	ns
10400, 	105.0	ns
10600, 	106.5	ns
10800, 	115.7	ns
11000, 	106.2	ns
11200, 	109.5	ns
11400, 	111.6	ns
11600, 	108.6	ns
11800, 	107.8	ns
12000, 	109.5	ns
12200, 	109.6	ns
12400, 	112.9	ns
12600, 	112.2	ns
12800, 	111.5	ns
13000, 	109.9	ns
13200, 	108.7	ns
13400, 	116.5	ns
13600, 	116.9	ns
13800, 	116.2	ns
14000, 	119.3	ns
14200, 	120.2	ns
14400, 	117.8	ns
14600, 	115.3	ns
14800, 	123.0	ns
15000, 	124.5	ns
15200, 	129.5	ns
15400, 	133.2	ns
15600, 	128.0	ns
15800, 	125.3	ns
16000, 	127.0	ns
16200, 	127.8	ns
16400, 	127.7	ns
16600, 	128.6	ns
16800, 	128.4	ns
17000, 	128.3	ns
17200, 	128.3	ns
17400, 	129.4	ns
17600, 	127.5	ns
17800, 	127.4	ns
18000, 	125.2	ns
18200, 	131.1	ns
18400, 	129.5	ns
18600, 	130.1	ns
18800, 	130.7	ns
19000, 	130.9	ns
19200, 	130.5	ns
19400, 	131.8	ns
19600, 	132.0	ns
19800, 	132.0	ns
20000, 	133.1	ns
40000, 	139.0	ns
60000, 	139.7	ns
80000, 	136.5	ns
100000, 	141.9	ns
120000, 	142.0	ns
140000, 	141.5	ns
160000, 	142.0	ns
180000, 	140.1	ns
